id,name,mime_type,parent_id,size,created_time,modified_time,owner_email,starred,trashed,web_view_link
folder-root,My Drive,application/vnd.google-apps.folder,,0,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z,brandon.hill@voissync.ai,false,false,
folder-mha,MHA Annual Report 2026,application/vnd.google-apps.folder,folder-root,0,2026-08-15T10:00:00Z,2026-10-05T14:30:00Z,brandon.hill@voissync.ai,true,false,https://drive.google.com/drive/folders/folder-mha
file-mha-report,doc_03.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,folder-mha,9444,2026-08-16T11:00:00Z,2026-10-05T14:30:00Z,brandon.hill@voissync.ai,false,false,https://docs.google.com/document/d/file-mha-report
file-mha-finance,data_02.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,folder-mha,8438,2026-08-20T09:00:00Z,2026-09-28T15:00:00Z,brandon.hill@voissync.ai,false,false,https://docs.google.com/spreadsheets/d/file-mha-finance
folder-nina,Nina's Boutique Rebrand,application/vnd.google-apps.folder,folder-root,0,2025-03-01T10:00:00Z,2025-05-15T16:00:00Z,brandon.hill@voissync.ai,false,false,
folder-patrick,Beckley Realty Group,application/vnd.google-apps.folder,folder-root,0,2026-07-01T11:00:00Z,2026-09-15T10:00:00Z,brandon.hill@voissync.ai,false,false,
file-fill-001,design_draft_1.png,image/png,folder-patrick,102400,2026-03-01T10:00:00Z,2026-09-01T10:00:00Z,brandon.hill@voissync.ai,false,false,
file-fill-002,design_draft_2.png,image/png,folder-nina,102400,2026-03-01T10:00:00Z,2026-09-01T10:00:00Z,brandon.hill@voissync.ai,false,false,
file-fill-003,design_draft_3.png,image/png,folder-patrick,102400,2026-03-01T10:00:00Z,2026-09-01T10:00:00Z,brandon.hill@voissync.ai,false,false,
file-fill-004,design_draft_4.png,image/png,folder-nina,102400,2026-03-01T10:00:00Z,2026-09-01T10:00:00Z,brandon.hill@voissync.ai,false,false,
file-fill-005,design_draft_5.png,image/png,folder-patrick,102400,2026-03-01T10:00:00Z,2026-09-01T10:00:00Z,brandon.hill@voissync.ai,false,false,
file-fill-006,design_draft_6.png,image/png,folder-nina,102400,2026-03-01T10:00:00Z,2026-09-01T10:00:00Z,brandon.hill@voissync.ai,false,false,
file-fill-007,design_draft_7.png,image/png,folder-patrick,102400,2026-03-01T10:00:00Z,2026-09-01T10:00:00Z,brandon.hill@voissync.ai,false,false,
file-fill-008,design_draft_8.png,image/png,folder-nina,102400,2026-03-01T10:00:00Z,2026-09-01T10:00:00Z,brandon.hill@voissync.ai,false,false,
file-fill-009,design_draft_9.png,image/png,folder-patrick,102400,2026-03-01T10:00:00Z,2026-09-01T10:00:00Z,brandon.hill@voissync.ai,false,false,
file-fill-010,design_draft_10.png,image/png,folder-nina,102400,2026-03-01T10:00:00Z,2026-09-01T10:00:00Z,brandon.hill@voissync.ai,false,false,
file-fill-011,design_draft_11.png,image/png,folder-patrick,102400,2026-03-01T10:00:00Z,2026-09-01T10:00:00Z,brandon.hill@voissync.ai,false,false,
file-fill-012,design_draft_12.png,image/png,folder-nina,102400,2026-03-01T10:00:00Z,2026-09-01T10:00:00Z,brandon.hill@voissync.ai,false,false,
file-fill-013,design_draft_13.png,image/png,folder-patrick,102400,2026-03-01T10:00:00Z,2026-09-01T10:00:00Z,brandon.hill@voissync.ai,false,false,
file-fill-014,design_draft_14.png,image/png,folder-nina,102400,2026-03-01T10:00:00Z,2026-09-01T10:00:00Z,brandon.hill@voissync.ai,false,false,
file-fill-015,design_draft_15.png,image/png,folder-patrick,102400,2026-03-01T10:00:00Z,2026-09-01T10:00:00Z,brandon.hill@voissync.ai,false,false,
